latitude;longitude
38.842399;-106.120291
38.580779;-106.924749
38.5224889;-106.9792813
38.5309722;-106.9554379
38.54204043;-106.94255897
38.804791;-106.882313
38.58587265;-106.92577362
38.53879547;-106.93517303
38.54486084;-106.94459534
38.798485;-106.92487729
38.55109988;-106.93736227
38.591989;-106.923529
38.6089863;-106.5143002
38.72766469;-106.77657156
38.73552426;-106.7703064
38.65770721;-106.85047913
38.721585;-106.774129
38.496577;-106.711085
38.56672731;-106.60109871
38.74610637;-106.70955703
38.61692664;-106.51652831
38.49863434;-106.72640228
38.496577;-106.711085
38.729079;-106.772554
38.83176;-106.15607
38.5421106;-106.1879369
38.844;-106.129
39.16435221;-106.03659115
38.8408837;-106.1199604
38.831108;-106.156075
38.84354;-106.12575
39.1599379;-106.056511
38.8421225;-106.1201702
39.1653707;-106.049316
38.921407;-105.915255
38.84168625;-106.12187195
38.8388724;-106.1221992
38.838927;-106.157533
38.834227;-106.154648
38.8849449;-105.9029567
38.840486;-106.135945
38.84103;-106.13605
39.1513459;-106.043141
39.15758465;-106.04795756
38.8677599;-106.138441
38.892817;-105.9565889
38.8430389;-106.1207303
38.84389187;-106.12839231
38.54135028;-106.19323554
38.92889954;-105.83070236
39.13272396;-106.04044779
38.8424053;-106.1212587
39.1626236;-106.0573504
38.8303;-106.148293
38.841523;-106.127482
39.13362108;-105.91064046
38.53989565;-106.18868561
38.84249115;-106.12023926
38.8410502;-106.1197792
38.842948;-106.1207717
38.84211349;-106.12024689
38.53594006;-106.18316168
38.83757157;-106.12119983
38.84119076;-106.11976624
38.5394961;-106.19161048
38.837865;-106.164288
38.84222;-106.13113
38.8336309;-106.130374
38.53864018;-106.18390482
38.53736821;-106.18524987
38.84150696;-106.12912651
38.897;-105.955
38.842803;-106.1368169
38.54455247;-106.1883614
38.53860718;-106.18635175
38.75659943;-106.18286896
38.540747;-106.3176469
38.55033857;-106.29028109
38.72139714;-106.18121966
38.55266;-106.29266
38.719767;-106.1864499
38.71453;-106.21889
38.755411;-106.1680389
38.71954957;-106.18642384
38.55224159;-106.28969709
38.71538384;-106.21853996
38.696195;-106.3519589
38.718971;-106.177061
38.75526674;-106.17557109
38.71078847;-106.28749806
38.719767;-106.1864499
38.537295;-106.188118
38.5525675;-106.2921204
38.649721;-106.361003
38.719767;-106.1864499
38.55266679;-106.292655
38.54221;-106.191045
38.71230316;-106.28366852
38.55255062;-106.29199949
38.5521698;-106.29162598
38.7328649;-106.168877
38.71373;-106.218554
38.711144;-106.280584
38.714532;-106.2138389
38.72847366;-106.16994476
